id,pdf,team,subteam,title,authors,description,thumbnail,preview
ar-apr-evaluation-pipeline-for-teamcity-s-ai-build-analyzer,posters/[AR][APR] Evaluation Pipeline for TeamCity_s AI Build Analyzer.pdf,AR,APR,Evaluation Pipeline for TeamCity s AI Build Analyzer,,,previews/thumbnails/ar-apr-evaluation-pipeline-for-teamcity-s-ai-build-analyzer.webp,previews/large/ar-apr-evaluation-pipeline-for-teamcity-s-ai-build-analyzer.webp
ar-apr-spectrum-evaluation,posters/[AR][APR] Spectrum Evaluation.pdf,AR,APR,Spectrum Evaluation,,,previews/thumbnails/ar-apr-spectrum-evaluation.webp,previews/large/ar-apr-spectrum-evaluation.webp
ar-code-comprehension-exploration-agent,posters/[AR][Code Comprehension] Exploration Agent.pdf,AR,Code Comprehension,Exploration Agent,,,previews/thumbnails/ar-code-comprehension-exploration-agent.webp,previews/large/ar-code-comprehension-exploration-agent.webp
ar-dpa-analysis-of-agents,posters/[AR][DPA] Analysis of Agents.pdf,AR,DPA,Analysis of Agents,,,previews/thumbnails/ar-dpa-analysis-of-agents.webp,previews/large/ar-dpa-analysis-of-agents.webp
ar-dpa-opentelemetry-plugin,posters/[AR][DPA] OpenTelemetry Plugin.pdf,AR,DPA,OpenTelemetry Plugin,,,previews/thumbnails/ar-dpa-opentelemetry-plugin.webp,previews/large/ar-dpa-opentelemetry-plugin.webp
ar-debugging-enhancing-debugging-experience-with-execution-traces,posters/[AR][Debugging] Enhancing Debugging Experience with Execution Traces.pdf,AR,Debugging,Enhancing Debugging Experience with Execution Traces,,,previews/thumbnails/ar-debugging-enhancing-debugging-experience-with-execution-traces.webp,previews/large/ar-debugging-enhancing-debugging-experience-with-execution-traces.webp
ar-testing-benchmark-collection-assistant,posters/[AR][Testing] Benchmark Collection Assistant.pdf,AR,Testing,Benchmark Collection Assistant,,,previews/thumbnails/ar-testing-benchmark-collection-assistant.webp,previews/large/ar-testing-benchmark-collection-assistant.webp
ar-testing-testgen-agent,posters/[AR][Testing] TESTGEN Agent.pdf,AR,Testing,TESTGEN Agent,,,previews/thumbnails/ar-testing-testgen-agent.webp,previews/large/ar-testing-testgen-agent.webp
ar-testing-test-repair-agent,posters/[AR][Testing] Test Repair Agent.pdf,AR,Testing,Test Repair Agent,,,previews/thumbnails/ar-testing-test-repair-agent.webp,previews/large/ar-testing-test-repair-agent.webp
education-research,posters/[Education Research].pdf,Education Research,,Education Research,,,previews/thumbnails/education-research.webp,previews/large/education-research.webp
ml-aia-critic-guided-stepwise-distillation-for-swe-bench-agents,posters/[ML][AIA] Critic-Guided Stepwise Distillation for SWE-Bench Agents.pdf,ML,AIA,Critic-Guided Stepwise Distillation for SWE-Bench Agents,,,previews/thumbnails/ml-aia-critic-guided-stepwise-distillation-for-swe-bench-agents.webp,previews/large/ml-aia-critic-guided-stepwise-distillation-for-swe-bench-agents.webp
ml-aia-envbench-rl-poster-final-1,posters/[ML][AIA] EnvBench_RL_poster_FINAL (1).pdf,ML,AIA,EnvBench RL poster FINAL,,,previews/thumbnails/ml-aia-envbench-rl-poster-final-1.webp,previews/large/ml-aia-envbench-rl-poster-final-1.webp
ml-aia-the-complexity-trap,posters/[ML][AIA] The Complexity Trap.pdf,ML,AIA,The Complexity Trap,,,previews/thumbnails/ml-aia-the-complexity-trap.webp,previews/large/ml-aia-the-complexity-trap.webp
ml-aia-trajectory-compression,posters/[ML][AIA] Trajectory_Compression.pdf,ML,AIA,Trajectory Compression,,,previews/thumbnails/ml-aia-trajectory-compression.webp,previews/large/ml-aia-trajectory-compression.webp
ml-cer-an-evaluation-harness-for-llms-on-code-tasks,posters/[ML][CER] An Evaluation Harness for LLMs on Code Tasks.pdf,ML,CER,An Evaluation Harness for LLMs on Code Tasks,,,previews/thumbnails/ml-cer-an-evaluation-harness-for-llms-on-code-tasks.webp,previews/large/ml-cer-an-evaluation-harness-for-llms-on-code-tasks.webp
ml-cer-best-of-n-worlds,posters/[ML][CER] Best of N worlds.pdf,ML,CER,Best of N worlds,,,previews/thumbnails/ml-cer-best-of-n-worlds.webp,previews/large/ml-cer-best-of-n-worlds.webp
ml-cer-trajectories-diff-xyz,posters/[ML][CER] Trajectories_Diff_XYZ.pdf,ML,CER,Trajectories Diff XYZ,,,previews/thumbnails/ml-cer-trajectories-diff-xyz.webp,previews/large/ml-cer-trajectories-diff-xyz.webp
ml-fed-how-private-is-your-autocomplete,posters/[ML][FED] How Private is Your Autocomplete_.pdf,ML,FED,How Private is Your Autocomplete,,,previews/thumbnails/ml-fed-how-private-is-your-autocomplete.webp,previews/large/ml-fed-how-private-is-your-autocomplete.webp
ml-hax-code-review-for-ai-generated-code,posters/[ML][HAX] Code Review for AI-generated Code.pdf,ML,HAX,Code Review for AI-generated Code,,,previews/thumbnails/ml-hax-code-review-for-ai-generated-code.webp,previews/large/ml-hax-code-review-for-ai-generated-code.webp
ml-hax-enhancing-tech-creation-through-new-multimodal-context,posters/[ML][HAX] Enhancing Tech Creation through New Multimodal Context.pdf,ML,HAX,Enhancing Tech Creation through New Multimodal Context,,,previews/thumbnails/ml-hax-enhancing-tech-creation-through-new-multimodal-context.webp,previews/large/ml-hax-enhancing-tech-creation-through-new-multimodal-context.webp
pms-what-pms-actually-do,posters/[PMs] What PMs Actually Do.pdf,PMs,,What PMs Actually Do,,,previews/thumbnails/pms-what-pms-actually-do.webp,previews/large/pms-what-pms-actually-do.webp
squad-idegym,posters/[Squad] IDEGym.pdf,Squad,,IDEGym,,,previews/thumbnails/squad-idegym.webp,previews/large/squad-idegym.webp
